Time,Gaze Origin,Gaze Direction,Fixation Point,Confidence Value,ClickPoint,
2023.10.14-15.48.44.823,X=420676.923 Y=369009.009 Z=2402.976,X=0.016 Y=-0.777 Z=0.629,X=0.000 Y=0.000 Z=0.000,1.0,X=420712.919 Y=367858.420 Z=3278.650,
2023.10.14-15.48.44.872,X=420676.883 Y=369009.035 Z=2402.969,X=0.015 Y=-0.774 Z=0.633,X=0.000 Y=0.000 Z=0.000,1.0,X=420711.499 Y=367859.944 Z=3285.181,
2023.10.14-15.48.44.920,X=420676.846 Y=369009.096 Z=2402.967,X=0.013 Y=-0.772 Z=0.635,X=0.000 Y=0.000 Z=0.000,1.0,X=420708.235 Y=367861.034 Z=3289.851,
2023.10.14-15.48.44.966,X=420676.809 Y=369009.160 Z=2402.960,X=0.011 Y=-0.770 Z=0.638,X=0.000 Y=0.000 Z=0.000,1.0,X=420706.142 Y=367862.262 Z=3295.118,
2023.10.14-15.48.45.013,X=420676.779 Y=369009.210 Z=2402.967,X=0.013 Y=-0.768 Z=0.641,X=0.000 Y=0.000 Z=0.000,1.0,X=420708.289 Y=367863.582 Z=3300.776,
2023.10.14-15.48.45.059,X=420676.749 Y=369009.266 Z=2402.975,X=0.011 Y=-0.767 Z=0.642,X=0.000 Y=0.000 Z=0.000,1.0,X=420705.865 Y=367864.243 Z=3303.608,
2023.10.14-15.48.45.107,X=420676.726 Y=369009.301 Z=2402.974,X=0.010 Y=-0.765 Z=0.644,X=0.000 Y=0.000 Z=0.000,1.0,X=420705.363 Y=367865.217 Z=3307.782,
2023.10.14-15.48.45.150,X=420676.715 Y=369009.345 Z=2402.977,X=0.011 Y=-0.763 Z=0.646,X=0.000 Y=0.000 Z=0.000,1.0,X=420706.740 Y=367866.139 Z=3311.733,
2023.10.14-15.48.45.193,X=420676.708 Y=369009.374 Z=2402.979,X=0.013 Y=-0.761 Z=0.648,X=0.000 Y=0.000 Z=0.000,1.0,X=420709.301 Y=367867.167 Z=3316.143,
2023.10.14-15.48.45.239,X=420676.698 Y=369009.445 Z=2403.015,X=0.014 Y=-0.759 Z=0.651,X=0.000 Y=0.000 Z=0.000,1.0,X=420711.120 Y=367868.377 Z=3321.327,
2023.10.14-15.48.45.286,X=420676.679 Y=369009.485 Z=2403.013,X=0.018 Y=-0.760 Z=0.650,X=0.000 Y=0.000 Z=0.000,1.0,X=420716.496 Y=367867.839 Z=3319.021,
2023.10.14-15.48.45.331,X=420676.672 Y=369009.516 Z=2403.008,X=0.024 Y=-0.765 Z=0.644,X=0.000 Y=0.000 Z=0.000,1.0,X=420723.985 Y=367865.195 Z=3307.690,
2023.10.14-15.48.45.376,X=420676.651 Y=369009.549 Z=2403.010,X=0.028 Y=-0.768 Z=0.640,X=0.000 Y=0.000 Z=0.000,1.0,X=420730.534 Y=367863.513 Z=3300.480,
2023.10.14-15.48.45.423,X=420676.632 Y=369009.568 Z=2403.006,X=0.029 Y=-0.769 Z=0.638,X=0.000 Y=0.000 Z=0.000,1.0,X=420731.445 Y=367862.499 Z=3296.134,
2023.10.14-15.48.45.472,X=420676.601 Y=369009.582 Z=2403.005,X=0.023 Y=-0.775 Z=0.632,X=0.000 Y=0.000 Z=0.000,1.0,X=420723.107 Y=367859.562 Z=3283.545,
2023.10.14-15.48.45.519,X=420676.597 Y=369009.592 Z=2403.008,X=-0.091 Y=-0.719 Z=0.689,X=0.000 Y=0.000 Z=0.000,1.0,X=420558.240 Y=367888.861 Z=3409.134,
2023.10.14-15.48.45.568,X=420676.591 Y=369009.599 Z=2403.005,X=0.025 Y=-0.755 Z=0.656,X=0.000 Y=0.000 Z=0.000,1.0,X=420725.822 Y=367870.750 Z=3331.502,
2023.10.14-15.48.45.614,X=420676.599 Y=369009.595 Z=2403.005,X=0.066 Y=-0.747 Z=0.661,X=0.000 Y=0.000 Z=0.000,1.0,X=420784.446 Y=367874.074 Z=3345.747,
2023.10.14-15.48.45.663,X=420676.619 Y=369009.601 Z=2403.012,X=0.083 Y=-0.743 Z=0.665,X=0.000 Y=0.000 Z=0.000,1.0,X=420809.110 Y=367876.103 Z=3354.444,
2023.10.14-15.48.45.710,X=420676.662 Y=369009.609 Z=2403.003,X=0.094 Y=-0.739 Z=0.667,X=0.000 Y=0.000 Z=0.000,1.0,X=420825.826 Y=367877.549 Z=3360.645,
2023.10.14-15.48.45.758,X=420676.740 Y=369009.625 Z=2403.005,X=0.103 Y=-0.737 Z=0.668,X=0.000 Y=0.000 Z=0.000,1.0,X=420839.032 Y=367878.505 Z=3364.744,
2023.10.14-15.48.45.806,X=420676.792 Y=369009.627 Z=2402.997,X=0.108 Y=-0.739 Z=0.665,X=0.000 Y=0.000 Z=0.000,1.0,X=420846.007 Y=367877.306 Z=3359.603,
2023.10.14-15.48.45.854,X=420676.839 Y=369009.628 Z=2402.998,X=0.105 Y=-0.747 Z=0.656,X=0.000 Y=0.000 Z=0.000,1.0,X=420840.865 Y=367872.620 Z=3339.515,
2023.10.14-15.48.45.902,X=420676.901 Y=369009.631 Z=2402.989,X=0.106 Y=-0.753 Z=0.649,X=0.000 Y=0.000 Z=0.000,1.0,X=420840.767 Y=367869.293 Z=3325.254,
2023.10.14-15.48.45.950,X=420676.945 Y=369009.621 Z=2402.982,X=0.105 Y=-0.757 Z=0.645,X=0.000 Y=0.000 Z=0.000,1.0,X=420839.384 Y=367867.273 Z=3316.594,
2023.10.14-15.48.45.999,X=420676.979 Y=369009.604 Z=2402.965,X=0.103 Y=-0.764 Z=0.637,X=0.000 Y=0.000 Z=0.000,1.0,X=420835.880 Y=367863.624 Z=3300.956,
2023.10.14-15.48.46.046,X=420676.991 Y=369009.577 Z=2402.954,X=-0.009 Y=-0.767 Z=0.641,X=0.000 Y=0.000 Z=0.000,1.0,X=420678.062 Y=367863.737 Z=3301.440,
2023.10.14-15.48.46.091,X=420677.004 Y=369009.550 Z=2402.943,X=-0.009 Y=-0.768 Z=0.640,X=0.000 Y=0.000 Z=0.000,1.0,X=420677.549 Y=367863.347 Z=3299.768,
2023.10.14-15.48.46.139,X=420677.005 Y=369009.515 Z=2402.934,X=0.151 Y=-0.716 Z=0.682,X=0.000 Y=0.000 Z=0.000,1.0,X=420912.402 Y=367887.809 Z=3404.622,
2023.10.14-15.48.46.189,X=420677.007 Y=369009.490 Z=2402.926,X=0.146 Y=-0.722 Z=0.676,X=0.000 Y=0.000 Z=0.000,1.0,X=420904.747 Y=367884.577 Z=3390.767,
2023.10.14-15.48.46.235,X=420677.015 Y=369009.461 Z=2402.935,X=0.141 Y=-0.727 Z=0.672,X=0.000 Y=0.000 Z=0.000,1.0,X=420895.726 Y=367881.936 Z=3379.447,
2023.10.14-15.48.46.285,X=420676.995 Y=369009.445 Z=2402.948,X=0.136 Y=-0.733 Z=0.667,X=0.000 Y=0.000 Z=0.000,1.0,X=420888.071 Y=367879.281 Z=3368.068,
2023.10.14-15.48.46.330,X=420676.987 Y=369009.421 Z=2402.936,X=0.132 Y=-0.735 Z=0.665,X=0.000 Y=0.000 Z=0.000,1.0,X=420880.992 Y=367878.039 Z=3362.743,
2023.10.14-15.48.46.378,X=420676.961 Y=369009.397 Z=2402.932,X=0.127 Y=-0.738 Z=0.663,X=0.000 Y=0.000 Z=0.000,1.0,X=420874.338 Y=367876.729 Z=3357.129,
2023.10.14-15.48.46.427,X=420676.953 Y=369009.380 Z=2402.928,X=0.123 Y=-0.743 Z=0.658,X=0.000 Y=0.000 Z=0.000,1.0,X=420866.768 Y=367874.183 Z=3346.216,
2023.10.14-15.48.46.472,X=420676.951 Y=369009.376 Z=2402.927,X=0.120 Y=-0.747 Z=0.654,X=0.000 Y=0.000 Z=0.000,1.0,X=420862.404 Y=367872.278 Z=3338.052,
2023.10.14-15.48.46.521,X=420676.957 Y=369009.367 Z=2402.926,X=0.118 Y=-0.750 Z=0.651,X=0.000 Y=0.000 Z=0.000,1.0,X=420858.924 Y=367870.638 Z=3331.020,
2023.10.14-15.48.46.569,X=420676.962 Y=369009.359 Z=2402.927,X=0.116 Y=-0.752 Z=0.649,X=0.000 Y=0.000 Z=0.000,1.0,X=420856.030 Y=367869.575 Z=3326.464,
2023.10.14-15.48.46.618,X=420676.961 Y=369009.334 Z=2402.921,X=0.114 Y=-0.762 Z=0.638,X=0.000 Y=0.000 Z=0.000,1.0,X=420851.365 Y=367864.124 Z=3303.100,
2023.10.14-15.48.46.665,X=420676.969 Y=369009.286 Z=2402.924,X=0.118 Y=-0.782 Z=0.612,X=0.000 Y=0.000 Z=0.000,1.0,X=420854.373 Y=367852.687 Z=3254.076,
2023.10.14-15.48.46.713,X=420676.932 Y=369009.171 Z=2402.779,X=0.119 Y=-0.786 Z=0.606,X=0.000 Y=0.000 Z=0.000,1.0,X=420855.374 Y=367849.959 Z=3242.380,
2023.10.14-15.48.46.762,X=420676.949 Y=369009.125 Z=2402.778,X=0.118 Y=-0.791 Z=0.600,X=0.000 Y=0.000 Z=0.000,1.0,X=420853.683 Y=367847.386 Z=3231.350,
2023.10.14-15.48.46.809,X=420676.962 Y=369009.090 Z=2402.775,X=0.119 Y=-0.793 Z=0.598,X=0.000 Y=0.000 Z=0.000,1.0,X=420855.364 Y=367846.439 Z=3227.290,
2023.10.14-15.48.46.857,X=420676.972 Y=369009.073 Z=2402.775,X=0.120 Y=-0.795 Z=0.595,X=0.000 Y=0.000 Z=0.000,1.0,X=420856.154 Y=367845.053 Z=3221.350,
2023.10.14-15.48.46.902,X=420676.986 Y=369009.060 Z=2402.772,X=0.113 Y=-0.796 Z=0.595,X=0.000 Y=0.000 Z=0.000,1.0,X=420846.605 Y=367845.101 Z=3221.557,
2023.10.14-15.48.46.950,X=420677.007 Y=369009.043 Z=2402.769,X=0.106 Y=-0.794 Z=0.599,X=0.000 Y=0.000 Z=0.000,1.0,X=420837.171 Y=367846.557 Z=3227.797,
2023.10.14-15.48.46.995,X=420677.023 Y=369009.025 Z=2402.764,X=0.102 Y=-0.790 Z=0.604,X=0.000 Y=0.000 Z=0.000,1.0,X=420831.913 Y=367848.613 Z=3236.609,
2023.10.14-15.48.47.039,X=420677.043 Y=369008.996 Z=2402.759,X=0.102 Y=-0.789 Z=0.606,X=0.000 Y=0.000 Z=0.000,1.0,X=420832.265 Y=367849.528 Z=3240.534,
2023.10.14-15.48.47.087,X=420677.067 Y=369008.962 Z=2402.767,X=0.100 Y=-0.790 Z=0.605,X=0.000 Y=0.000 Z=0.000,1.0,X=420829.091 Y=367848.940 Z=3238.011,
2023.10.14-15.48.47.135,X=420677.101 Y=369008.901 Z=2402.765,X=0.097 Y=-0.790 Z=0.605,X=0.000 Y=0.000 Z=0.000,1.0,X=420824.688 Y=367848.884 Z=3237.771,
2023.10.14-15.48.47.185,X=420677.132 Y=369008.851 Z=2402.764,X=0.094 Y=-0.795 Z=0.599,X=0.000 Y=0.000 Z=0.000,1.0,X=420819.756 Y=367846.212 Z=3226.317,
2023.10.14-15.48.47.233,X=420677.172 Y=369008.801 Z=2402.747,X=0.091 Y=-0.798 Z=0.596,X=0.000 Y=0.000 Z=0.000,1.0,X=420815.923 Y=367844.782 Z=3220.188,
2023.10.14-15.48.47.282,X=420677.177 Y=369008.770 Z=2402.740,X=0.089 Y=-0.799 Z=0.595,X=0.000 Y=0.000 Z=0.000,1.0,X=420813.102 Y=367844.436 Z=3218.704,
2023.10.14-15.48.47.330,X=420677.202 Y=369008.740 Z=2402.735,X=0.086 Y=-0.801 Z=0.593,X=0.000 Y=0.000 Z=0.000,1.0,X=420808.570 Y=367843.457 Z=3214.511,
2023.10.14-15.48.47.377,X=420677.220 Y=369008.720 Z=2402.736,X=0.086 Y=-0.799 Z=0.595,X=0.000 Y=0.000 Z=0.000,1.0,X=420808.659 Y=367844.223 Z=3217.795,
2023.10.14-15.48.47.424,X=420677.253 Y=369008.697 Z=2402.731,X=0.086 Y=-0.799 Z=0.595,X=0.000 Y=0.000 Z=0.000,1.0,X=420807.845 Y=367845.477 Z=3218.098,
2023.10.14-15.48.47.471,X=420677.279 Y=369008.682 Z=2402.729,X=0.086 Y=-0.799 Z=0.595,X=0.000 Y=0.000 Z=0.000,1.0,X=420808.289 Y=367846.385 Z=3216.988,
2023.10.14-15.48.47.519,X=420677.309 Y=369008.666 Z=2402.730,X=0.087 Y=-0.797 Z=0.597,X=0.000 Y=0.000 Z=0.000,1.0,X=420809.736 Y=367845.299 Z=3222.405,
2023.10.14-15.48.47.568,X=420677.322 Y=369008.656 Z=2402.728,X=0.086 Y=-0.797 Z=0.597,X=0.000 Y=0.000 Z=0.000,1.0,X=420809.287 Y=367846.389 Z=3221.470,
2023.10.14-15.48.47.613,X=420677.332 Y=369008.651 Z=2402.729,X=0.086 Y=-0.798 Z=0.596,X=0.000 Y=0.000 Z=0.000,1.0,X=420808.649 Y=367844.666 Z=3219.692,
2023.10.14-15.48.47.661,X=420677.338 Y=369008.651 Z=2402.735,X=0.086 Y=-0.799 Z=0.595,X=0.000 Y=0.000 Z=0.000,1.0,X=420808.701 Y=367844.614 Z=3218.198,
2023.10.14-15.48.47.709,X=420677.387 Y=369008.706 Z=2402.868,X=0.087 Y=-0.800 Z=0.594,X=0.000 Y=0.000 Z=0.000,1.0,X=420809.609 Y=367843.989 Z=3216.788,
2023.10.14-15.48.47.755,X=420677.386 Y=369008.718 Z=2402.866,X=0.088 Y=-0.799 Z=0.595,X=0.000 Y=0.000 Z=0.000,1.0,X=420811.068 Y=367844.301 Z=3218.125,
2023.10.14-15.48.47.803,X=420677.368 Y=369008.754 Z=2402.874,X=0.089 Y=-0.798 Z=0.596,X=0.000 Y=0.000 Z=0.000,1.0,X=420813.068 Y=367844.976 Z=3221.019,
2023.10.14-15.48.47.847,X=420677.351 Y=369008.807 Z=2402.872,X=0.089 Y=-0.796 Z=0.599,X=0.000 Y=0.000 Z=0.000,1.0,X=420813.520 Y=367845.913 Z=3225.038,
2023.10.14-15.48.47.895,X=420677.330 Y=369008.869 Z=2402.889,X=0.088 Y=-0.796 Z=0.599,X=0.000 Y=0.000 Z=0.000,1.0,X=420812.311 Y=367846.194 Z=3226.243,
2023.10.14-15.48.47.944,X=420677.302 Y=369008.912 Z=2402.888,X=0.090 Y=-0.795 Z=0.600,X=0.000 Y=0.000 Z=0.000,1.0,X=420814.419 Y=367846.540 Z=3227.725,
2023.10.14-15.48.47.993,X=420677.260 Y=369008.968 Z=2402.886,X=0.089 Y=-0.796 Z=0.598,X=0.000 Y=0.000 Z=0.000,1.0,X=420813.466 Y=367845.720 Z=3224.209,
2023.10.14-15.48.48.037,X=420677.210 Y=369009.007 Z=2402.888,X=0.088 Y=-0.797 Z=0.597,X=0.000 Y=0.000 Z=0.000,1.0,X=420811.628 Y=367845.212 Z=3222.032,
2023.10.14-15.48.48.080,X=420677.146 Y=369009.057 Z=2402.887,X=0.087 Y=-0.798 Z=0.596,X=0.000 Y=0.000 Z=0.000,1.0,X=420809.715 Y=367844.675 Z=3219.732,
2023.10.14-15.48.48.128,X=420677.097 Y=369009.112 Z=2402.894,X=0.086 Y=-0.800 Z=0.594,X=0.000 Y=0.000 Z=0.000,1.0,X=420808.942 Y=367844.065 Z=3217.117,
2023.10.14-15.48.48.176,X=420677.042 Y=369009.178 Z=2402.891,X=0.086 Y=-0.798 Z=0.596,X=0.000 Y=0.000 Z=0.000,1.0,X=420808.600 Y=367844.771 Z=3220.140,
2023.10.14-15.48.48.223,X=420677.008 Y=369009.242 Z=2402.885,X=0.084 Y=-0.799 Z=0.596,X=0.000 Y=0.000 Z=0.000,1.0,X=420805.562 Y=367844.603 Z=3219.423,
2023.10.14-15.48.48.268,X=420676.978 Y=369009.312 Z=2402.882,X=0.083 Y=-0.799 Z=0.596,X=0.000 Y=0.000 Z=0.000,1.0,X=420804.254 Y=367845.419 Z=3219.076,
2023.10.14-15.48.48.315,X=420676.936 Y=369009.390 Z=2402.883,X=0.088 Y=-0.800 Z=0.594,X=0.000 Y=0.000 Z=0.000,1.0,X=420811.763 Y=367843.882 Z=3216.330,
2023.10.14-15.48.48.364,X=420676.904 Y=369009.478 Z=2402.887,X=0.093 Y=-0.799 Z=0.594,X=0.000 Y=0.000 Z=0.000,1.0,X=420817.714 Y=367843.855 Z=3216.217,
2023.10.14-15.48.48.400,X=420676.882 Y=369009.550 Z=2402.890,X=0.095 Y=-0.799 Z=0.594,X=0.000 Y=0.000 Z=0.000,1.0,X=420821.075 Y=367844.045 Z=3217.029,
2023.10.14-15.48.48.444,X=420676.856 Y=369009.623 Z=2402.893,X=0.095 Y=-0.800 Z=0.593,X=0.000 Y=0.000 Z=0.000,1.0,X=420821.041 Y=367843.531 Z=3214.829,
2023.10.14-15.48.48.487,X=420676.832 Y=369009.697 Z=2402.900,X=0.095 Y=-0.798 Z=0.594,X=0.000 Y=0.000 Z=0.000,1.0,X=420821.522 Y=367844.312 Z=3218.175,
2023.10.14-15.48.48.535,X=420676.806 Y=369009.774 Z=2402.911,X=0.097 Y=-0.798 Z=0.595,X=0.000 Y=0.000 Z=0.000,1.0,X=420823.929 Y=367844.536 Z=3219.133,
2023.10.14-15.48.48.581,X=420676.789 Y=369009.838 Z=2402.918,X=0.098 Y=-0.797 Z=0.596,X=0.000 Y=0.000 Z=0.000,1.0,X=420824.834 Y=367845.166 Z=3221.835,
2023.10.14-15.48.48.629,X=420676.771 Y=369009.894 Z=2402.922,X=0.099 Y=-0.796 Z=0.597,X=0.000 Y=0.000 Z=0.000,1.0,X=420826.420 Y=367845.629 Z=3223.821,
2023.10.14-15.48.48.673,X=420676.766 Y=369009.923 Z=2402.930,X=0.099 Y=-0.795 Z=0.598,X=0.000 Y=0.000 Z=0.000,1.0,X=420827.350 Y=367846.850 Z=3223.914,
2023.10.14-15.48.48.718,X=420676.757 Y=369009.949 Z=2402.905,X=0.100 Y=-0.796 Z=0.597,X=0.000 Y=0.000 Z=0.000,1.0,X=420828.340 Y=367846.623 Z=3222.755,
2023.10.14-15.48.48.766,X=420676.764 Y=369009.971 Z=2402.909,X=0.102 Y=-0.797 Z=0.596,X=0.000 Y=0.000 Z=0.000,1.0,X=420830.307 Y=367845.081 Z=3221.470,
2023.10.14-15.48.48.813,X=420676.759 Y=369010.004 Z=2402.910,X=0.102 Y=-0.796 Z=0.596,X=0.000 Y=0.000 Z=0.000,1.0,X=420831.101 Y=367846.380 Z=3221.373,
2023.10.14-15.48.48.861,X=420676.765 Y=369010.036 Z=2402.915,X=0.102 Y=-0.797 Z=0.595,X=0.000 Y=0.000 Z=0.000,1.0,X=420830.816 Y=367844.744 Z=3220.026,
2023.10.14-15.48.48.906,X=420676.760 Y=369010.081 Z=2402.917,X=0.102 Y=-0.797 Z=0.595,X=0.000 Y=0.000 Z=0.000,1.0,X=420830.871 Y=367845.799 Z=3218.968,
2023.10.14-15.48.48.953,X=420676.758 Y=369010.120 Z=2402.916,X=0.102 Y=-0.798 Z=0.594,X=0.000 Y=0.000 Z=0.000,1.0,X=420831.048 Y=367844.305 Z=3218.145,
2023.10.14-15.48.48.999,X=420676.750 Y=369010.165 Z=2402.918,X=0.104 Y=-0.797 Z=0.595,X=0.000 Y=0.000 Z=0.000,1.0,X=420833.143 Y=367844.925 Z=3220.805,
2023.10.14-15.48.49.047,X=420676.742 Y=369010.197 Z=2402.919,X=0.099 Y=-0.799 Z=0.593,X=0.000 Y=0.000 Z=0.000,1.0,X=420826.874 Y=367843.652 Z=3215.344,
2023.10.14-15.48.49.094,X=420676.730 Y=369010.238 Z=2402.929,X=0.096 Y=-0.801 Z=0.592,X=0.000 Y=0.000 Z=0.000,1.0,X=420822.431 Y=367843.107 Z=3213.009,
2023.10.14-15.48.49.138,X=420676.716 Y=369010.262 Z=2402.933,X=0.094 Y=-0.800 Z=0.592,X=0.000 Y=0.000 Z=0.000,1.0,X=420819.524 Y=367843.234 Z=3213.554,
2023.10.14-15.48.49.186,X=420676.695 Y=369010.287 Z=2402.938,X=0.093 Y=-0.799 Z=0.594,X=0.000 Y=0.000 Z=0.000,1.0,X=420818.815 Y=367844.230 Z=3217.821,
2023.10.14-15.48.49.231,X=420676.682 Y=369010.296 Z=2402.931,X=0.092 Y=-0.797 Z=0.597,X=0.000 Y=0.000 Z=0.000,1.0,X=420816.434 Y=367845.406 Z=3222.863,
2023.10.14-15.48.49.279,X=420676.651 Y=369010.313 Z=2402.936,X=0.091 Y=-0.795 Z=0.599,X=0.000 Y=0.000 Z=0.000,1.0,X=420815.596 Y=367846.245 Z=3226.461,
2023.10.14-15.48.49.327,X=420676.633 Y=369010.332 Z=2402.930,X=0.090 Y=-0.793 Z=0.602,X=0.000 Y=0.000 Z=0.000,1.0,X=420815.318 Y=367847.455 Z=3231.647,
2023.10.14-15.48.49.372,X=420676.617 Y=369010.341 Z=2402.931,X=0.091 Y=-0.792 Z=0.603,X=0.000 Y=0.000 Z=0.000,1.0,X=420816.175 Y=367848.037 Z=3234.142,
2023.10.14-15.48.49.419,X=420676.611 Y=369010.364 Z=2402.935,X=0.091 Y=-0.791 Z=0.604,X=0.000 Y=0.000 Z=0.000,1.0,X=420816.435 Y=367848.485 Z=3236.062,
2023.10.14-15.48.49.466,X=420676.607 Y=369010.382 Z=2402.928,X=0.092 Y=-0.790 Z=0.606,X=0.000 Y=0.000 Z=0.000,1.0,X=420817.337 Y=367849.326 Z=3239.668,
2023.10.14-15.48.49.513,X=420676.611 Y=369010.402 Z=2402.938,X=0.092 Y=-0.791 Z=0.605,X=0.000 Y=0.000 Z=0.000,1.0,X=420817.790 Y=367848.658 Z=3236.805,
2023.10.14-15.48.49.558,X=420676.618 Y=369010.413 Z=2402.936,X=0.094 Y=-0.789 Z=0.607,X=0.000 Y=0.000 Z=0.000,1.0,X=420820.822 Y=367849.661 Z=3241.102,
2023.10.14-15.48.49.601,X=420676.617 Y=369010.423 Z=2402.935,X=0.095 Y=-0.790 Z=0.605,X=0.000 Y=0.000 Z=0.000,1.0,X=420821.199 Y=367848.987 Z=3238.215,
2023.10.14-15.48.49.649,X=420676.616 Y=369010.431 Z=2402.939,X=0.094 Y=-0.791 Z=0.604,X=0.000 Y=0.000 Z=0.000,1.0,X=420820.205 Y=367848.569 Z=3236.420,
2023.10.14-15.48.49.697,X=420676.652 Y=369010.457 Z=2403.011,X=0.094 Y=-0.792 Z=0.603,X=0.000 Y=0.000 Z=0.000,1.0,X=420820.341 Y=367847.911 Z=3233.601,
2023.10.14-15.48.49.745,X=420676.665 Y=369010.459 Z=2403.011,X=0.097 Y=-0.793 Z=0.602,X=0.000 Y=0.000 Z=0.000,1.0,X=420823.792 Y=367847.639 Z=3232.438,
2023.10.14-15.48.49.792,X=420676.689 Y=369010.454 Z=2403.007,X=0.099 Y=-0.791 Z=0.604,X=0.000 Y=0.000 Z=0.000,1.0,X=420827.377 Y=367848.619 Z=3236.635,
2023.10.14-15.48.49.840,X=420676.700 Y=369010.439 Z=2403.002,X=0.101 Y=-0.790 Z=0.604,X=0.000 Y=0.000 Z=0.000,1.0,X=420829.880 Y=367848.750 Z=3237.197,
2023.10.14-15.48.49.889,X=420676.733 Y=369010.424 Z=2402.991,X=0.101 Y=-0.789 Z=0.606,X=0.000 Y=0.000 Z=0.000,1.0,X=420830.672 Y=367849.394 Z=3239.960,
2023.10.14-15.48.49.935,X=420676.749 Y=369010.401 Z=2402.980,X=0.099 Y=-0.784 Z=0.613,X=0.000 Y=0.000 Z=0.000,1.0,X=420827.988 Y=367852.246 Z=3252.184,
2023.10.14-15.48.49.985,X=420676.775 Y=369010.376 Z=2402.964,X=0.098 Y=-0.781 Z=0.616,X=0.000 Y=0.000 Z=0.000,1.0,X=420827.456 Y=367853.960 Z=3259.528,
2023.10.14-15.48.50.033,X=420676.789 Y=369010.373 Z=2402.959,X=0.097 Y=-0.781 Z=0.617,X=0.000 Y=0.000 Z=0.000,1.0,X=420825.407 Y=367854.157 Z=3260.374,
2023.10.14-15.48.50.075,X=420676.799 Y=369010.367 Z=2402.949,X=0.097 Y=-0.780 Z=0.618,X=0.000 Y=0.000 Z=0.000,1.0,X=420825.045 Y=367854.574 Z=3262.161,
2023.10.14-15.48.50.123,X=420676.810 Y=369010.361 Z=2402.945,X=0.097 Y=-0.779 Z=0.620,X=0.000 Y=0.000 Z=0.000,1.0,X=420825.996 Y=367855.350 Z=3265.490,
2023.10.14-15.48.50.169,X=420676.803 Y=369010.343 Z=2402.940,X=0.096 Y=-0.778 Z=0.621,X=0.000 Y=0.000 Z=0.000,1.0,X=420823.799 Y=367855.688 Z=3266.936,
2023.10.14-15.48.50.214,X=420676.793 Y=369010.316 Z=2402.938,X=0.096 Y=-0.777 Z=0.623,X=0.000 Y=0.000 Z=0.000,1.0,X=420824.472 Y=367856.592 Z=3270.814,
2023.10.14-15.48.50.263,X=420676.792 Y=369010.258 Z=2402.920,X=0.095 Y=-0.777 Z=0.622,X=0.000 Y=0.000 Z=0.000,1.0,X=420823.839 Y=367856.377 Z=3269.456,
2023.10.14-15.48.50.308,X=420676.792 Y=369010.190 Z=2402.912,X=0.099 Y=-0.780 Z=0.618,X=0.000 Y=0.000 Z=0.000,1.0,X=420828.451 Y=367854.779 Z=3263.040,
2023.10.14-15.48.50.356,X=420676.791 Y=369010.109 Z=2402.912,X=0.101 Y=-0.781 Z=0.616,X=0.000 Y=0.000 Z=0.000,1.0,X=420831.290 Y=367853.949 Z=3259.482,
2023.10.14-15.48.50.404,X=420676.786 Y=369010.018 Z=2402.889,X=0.104 Y=-0.782 Z=0.615,X=0.000 Y=0.000 Z=0.000,1.0,X=420835.471 Y=367853.509 Z=3257.597,
2023.10.14-15.48.50.452,X=420676.775 Y=369009.959 Z=2402.878,X=0.105 Y=-0.782 Z=0.614,X=0.000 Y=0.000 Z=0.000,1.0,X=420836.178 Y=367853.047 Z=3255.617,
2023.10.14-15.48.50.500,X=420676.759 Y=369009.916 Z=2402.878,X=0.103 Y=-0.782 Z=0.615,X=0.000 Y=0.000 Z=0.000,1.0,X=420834.320 Y=367853.449 Z=3257.340,
2023.10.14-15.48.50.549,X=420676.729 Y=369009.885 Z=2402.882,X=0.103 Y=-0.779 Z=0.618,X=0.000 Y=0.000 Z=0.000,1.0,X=420833.637 Y=367854.922 Z=3263.652,
